"","participant_id","trial_index","attractiveness_rating","stimulus","response","reasons_selected","other_reason_text","rt","time_elapsed"
"243",24,2,60,"face_029.png","0","[""Mouth"",""Eyes"",""Jaw"",""Hair""]",NA,36580,261008
"244",24,3,50,"face_079.png","0","[""Mouth"",""Nose"",""Jaw"",""Hair"",""Other""]","face shape",42621,303632
"245",24,4,10,"face_250.png","0","[""Mouth"",""Eyes"",""Hair"",""Other""]","eyebrows",50964,354598
"246",24,5,30,"face_431.png","0","[""Eyes"",""Nose"",""Hair""]",NA,29319,383919
"247",24,6,NA,"face_076.png","0",NA,NA,21494,405415
"248",24,7,70,"face_333.png","0","[""Mouth"",""Eyes"",""Jaw"",""Hair"",""Other""]","eyebrows",21728,427143
"249",24,8,80,"face_378.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,46592,473737
"250",24,9,NA,"face_260.png","0",NA,NA,27864,501604
"251",25,0,40,"face_239.png","0","[""Eyes"",""Hair""]",NA,30390,30393
"252",25,1,20,"face_353.png","0","[""Eyes"",""Nose""]",NA,14701,45095
"253",25,2,40,"face_010.png","0","[""Mouth"",""Nose""]",NA,8912,54008
"254",25,3,40,"face_076.png","0","[""Mouth"",""Nose""]",NA,15921,69930
"255",25,4,10,"face_079.png","0","[""Eyes"",""Nose"",""Other""]","cheeks, face shape",19168,89098
"256",25,5,0,"face_160.png","0","[""Mouth"",""Eyes"",""Nose"",""Jaw""]",NA,14146,103245
"257",25,6,30,"face_260.png","0","[""Jaw"",""Hair""]",NA,61548,164795
"258",25,7,50,"face_021.png","0","[""Eyes"",""Nose""]",NA,9864,174662
"259",25,8,30,"face_151.png","0","[""Nose"",""Hair""]",NA,7321,181983
"260",25,9,50,"face_103.png","0","[""Mouth""]",NA,5839,187824
"261",26,0,60,"face_376.png","0","[""Eyes""]",NA,26616,26616
"262",26,1,50,"face_073.png","0","[""Mouth""]",NA,9783,36401
"263",26,2,20,"face_320.png","0","[]",NA,15532,51934
"264",26,3,50,"face_313.png","0","[""Mouth"",""Eyes""]",NA,14430,66365
"265",26,4,10,"face_001.png","0","[]",NA,7298,73664
"266",26,5,20,"face_180.png","0","[""Eyes""]",NA,11582,85248
"267",26,6,10,"face_085.png","0","[]",NA,10448,95699
"268",26,7,90,"face_260.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,23181,118881
"269",26,8,50,"face_270.png","0","[""Mouth""]",NA,15850,134733
"270",26,9,10,"face_059.png","0","[]",NA,7429,142164
"271",27,0,10,"face_424.png","0","[""Nose"",""Hair""]",NA,34790,34803
"272",27,1,0,"face_358.png","0","[""Hair""]",NA,14535,49343
"273",27,2,40,"face_200.png","0","[""Mouth"",""Eyes"",""Other""]","Clear skin",32981,82330
"274",27,3,30,"face_060.png","0","[""Mouth"",""Eyes""]",NA,18565,100899
"275",27,4,60,"face_277.png","0","[""Eyes"",""Hair""]",NA,23212,124115
"276",27,5,20,"face_054.png","0","[]",NA,18265,142384
"277",27,6,50,"face_039.png","0","[""Mouth"",""Eyes""]",NA,15983,158371
"278",27,7,50,"face_378.png","0","[""Jaw"",""Hair""]",NA,13111,171486
"279",27,8,50,"face_309.png","0","[""Eyes""]",NA,8845,180335
"280",27,9,10,"face_422.png","0","[""Nose""]",NA,12617,192955
"281",28,0,30,"face_054.png","0","[]",NA,2754,2755
"282",28,1,10,"face_054.png","0","[""Eyes""]",NA,27041,29799
"283",28,2,50,"face_325.png","0","[""Eyes"",""Hair""]",NA,1238,31038
"284",28,3,70,"face_325.png","0","[""Mouth"",""Eyes"",""Nose""]",NA,28816,59854
"285",28,4,50,"face_250.png","0","[""Nose""]",NA,1559,61414
"286",28,5,0,"face_250.png","0","[""Mouth""]",NA,17205,78620
"287",28,6,50,"face_062.png","0","[""Jaw""]",NA,1465,80086
"288",28,7,30,"face_062.png","0","[""Mouth"",""Hair""]",NA,22834,102920
"289",28,8,70,"face_265.png","0","[""Eyes""]",NA,1248,104169
"290",28,9,70,"face_265.png","0","[""Mouth"",""Eyes"",""Nose""]",NA,13111,117280
"291",28,10,NA,"face_333.png",NA,NA,NA,1955,119237
"292",28,11,90,"face_333.png","0","[""Mouth"",""Eyes"",""Nose"",""Ears"",""Jaw""]",NA,23127,142364
"293",28,12,NA,"face_095.png",NA,NA,NA,1026,143391
"294",28,13,40,"face_095.png","0","[""Mouth""]",NA,11557,154949
"295",28,14,NA,"face_392.png",NA,NA,NA,746,155695
"296",28,15,20,"face_392.png","0","[""Eyes""]",NA,17406,173102
"297",28,16,NA,"face_167.png",NA,NA,NA,993,174096
"298",28,17,0,"face_167.png","0","[""Eyes""]",NA,10493,184590
"299",28,18,NA,"face_438.png",NA,NA,NA,4544,189135
"300",28,19,50,"face_438.png","0","[""Mouth"",""Eyes"",""Jaw""]",NA,23436,212573
"301",29,0,20,"face_421.png","m","[""Eyes"",""Nose""]",NA,826,827
"302",29,1,60,"face_421.png","0","[""Nose"",""Hair"",""Other""]","British",97361,98188
"303",29,2,60,"face_255.png","k","[""Eyes"",""Nose"",""Hair""]",NA,2867,101055
"304",29,3,30,"face_255.png","0","[""Mouth"",""Hair""]",NA,35814,136870
"305",29,4,70,"face_011.png","m","[""Mouth"",""Eyes"",""Jaw""]",NA,2843,139714
"306",29,5,70,"face_011.png","0","[""Eyes"",""Jaw""]",NA,20853,160568
"307",29,6,70,"face_333.png",",","[]",NA,2511,163079
"308",29,7,70,"face_333.png","0","[""Eyes""]",NA,82990,246069
"309",29,8,50,"face_178.png",",","[]",NA,2626,248696
"310",29,9,60,"face_178.png","0","[""Other""]","forhead",18954,267650
"311",29,10,NA,"face_204.png","m",NA,NA,1674,269324
"312",29,11,60,"face_204.png","0","[""Mouth"",""Hair""]",NA,7254,276579
"313",29,12,NA,"face_095.png","m",NA,NA,1649,278229
"314",29,13,40,"face_095.png","0","[""Jaw"",""Hair""]",NA,14423,292653
"315",29,14,NA,"face_199.png","m",NA,NA,1907,294561
"316",29,15,60,"face_199.png","0","[""Mouth"",""Eyes""]",NA,8742,303303
"317",29,16,NA,"face_147.png","m",NA,NA,1565,304869
"318",29,17,90,"face_147.png","0","[""Eyes"",""Nose"",""Jaw""]",NA,21982,326851
"319",29,18,NA,"face_239.png","k",NA,NA,1473,328325
"320",29,19,40,"face_239.png","0","[""Mouth"",""Other""]",NA,15378,343703
"321",30,0,60,"face_376.png","0","[""Mouth"",""Eyes""]",NA,19139,19144
"322",30,1,20,"face_011.png","0","[""Eyes"",""Jaw""]",NA,10550,29700
"323",30,2,0,"face_115.png","0","[]",NA,4601,34314
"324",30,3,0,"face_433.png","0","[]",NA,3471,37792
"325",30,4,10,"face_309.png","0","[""Ears""]",NA,5369,43169
"326",30,5,0,"face_137.png","0","[]",NA,8220,51393
"327",30,6,20,"face_388.png","0","[""Eyes"",""Nose""]",NA,4841,56236
"328",30,7,50,"face_167.png","0","[""Mouth"",""Hair""]",NA,6608,62850
"329",30,8,30,"face_313.png","0","[""Mouth""]",NA,4863,67718
"330",30,9,0,"face_184.png","0","[]",NA,4558,72284
"331",31,0,60,"face_001.png","0","[""Eyes"",""Hair""]",NA,14850,14856
"332",31,1,70,"face_350.png","0","[""Mouth""]",NA,16129,30990
"333",31,2,30,"face_102.png","0","[""Eyes"",""Nose""]",NA,15491,46484
"334",31,3,60,"face_420.png","0","[""Jaw""]",NA,13721,60208
"335",31,4,30,"face_472.png","0","[""Mouth"",""Hair""]",NA,15177,75390
"336",31,5,60,"face_039.png","0","[""Mouth"",""Eyes""]",NA,12199,87593
"337",31,6,80,"face_325.png","0","[""Mouth"",""Eyes""]",NA,11761,99357
"338",31,7,70,"face_355.png","0","[""Eyes"",""Nose""]",NA,8907,108268
"339",31,8,30,"face_388.png","0","[""Nose"",""Hair""]",NA,8356,116627
"340",31,9,60,"face_162.png","0","[""Jaw"",""Hair""]",NA,8594,125225
"341",32,0,20,"face_054.png","0","[""Jaw"",""Hair""]",NA,19298,19300
"342",32,1,50,"face_030.png","0","[""Mouth"",""Hair""]",NA,13968,33272
"343",32,2,30,"face_117.png","0","[""Mouth"",""Eyes""]",NA,16177,49453
"344",32,3,30,"face_077.png","0","[""Mouth"",""Jaw"",""Hair""]",NA,8143,57600
"345",32,4,40,"face_184.png","0","[""Mouth"",""Hair""]",NA,7163,64766
"346",32,5,40,"face_204.png","0","[""Eyes"",""Nose""]",NA,9589,74359
"347",32,6,60,"face_147.png","0","[""Mouth"",""Nose""]",NA,9933,84296
"348",32,7,40,"face_433.png","0","[""Nose"",""Hair""]",NA,9646,93945
"349",32,8,70,"face_357.png","0","[""Eyes"",""Hair""]",NA,9457,103404
"350",32,9,30,"face_424.png","0","[""Mouth"",""Eyes"",""Nose""]",NA,8758,112167
"351",33,0,60,"face_174.png","0","[""Eyes""]",NA,12309,12314
"352",33,1,60,"face_200.png","0","[""Ears""]",NA,17292,29611
"353",33,2,40,"face_030.png","0","[""Eyes""]",NA,9037,38655
"354",33,3,20,"face_388.png","0","[""Mouth""]",NA,43340,82000
"355",33,4,30,"face_095.png","0","[""Mouth""]",NA,26193,108198
"356",33,5,70,"face_184.png","0","[""Eyes""]",NA,8237,116440
"357",33,6,60,"face_239.png","0","[""Eyes""]",NA,4796,121241
"358",33,7,40,"face_149.png","0","[""Mouth""]",NA,11905,133154
"359",33,8,20,"face_241.png","0","[""Mouth""]",NA,7974,141133
"360",33,9,30,"face_001.png","0","[""Mouth""]",NA,6245,147385
"361",34,0,10,"face_366.png","0","[""Nose"",""Ears"",""Jaw""]",NA,24990,25002
"362",34,1,100,"face_463.png","0","[""Eyes""]",NA,11371,36378
"363",34,2,20,"face_421.png","0","[""Mouth"",""Ears""]",NA,18995,55376
"364",34,3,70,"face_390.png","0","[""Mouth"",""Eyes"",""Nose"",""Hair""]",NA,14659,70037
"365",34,4,60,"face_029.png","0","[""Eyes"",""Jaw"",""Hair""]",NA,11955,81995
"366",34,5,70,"face_011.png","0","[""Eyes"",""Nose"",""Jaw""]",NA,11988,93986
"367",34,6,60,"face_095.png","0","[""Mouth""]",NA,11960,105948
"368",34,7,80,"face_315.png","0","[""Eyes"",""Nose"",""Ears""]",NA,17472,123423
"369",34,8,70,"face_155.png","0","[""Hair""]",NA,9886,133312
"370",34,9,80,"face_076.png","0","[""Eyes""]",NA,5465,138779
"371",35,0,10,"face_472.png","0","[]",NA,19469,19473
"372",35,1,0,"face_102.png","0","[]",NA,4642,24120
"373",35,2,0,"face_420.png","0","[]",NA,2999,27122
"374",35,3,70,"face_404.png","0","[""Eyes""]",NA,11416,38541
"375",35,4,10,"face_033.png","0","[]",NA,3874,42418
"376",35,5,30,"face_355.png","0","[""Eyes""]",NA,7713,50133
"377",35,6,10,"face_092.png","0","[]",NA,2700,52835
"378",35,7,40,"face_419.png","0","[""Mouth""]",NA,6521,59359
"379",35,8,20,"face_146.png","0","[]",NA,4582,63944
"380",35,9,60,"face_080.png","0","[""Mouth"",""Jaw""]",NA,20077,84023
"381",36,0,40,"face_411.png","0","[""Nose""]",NA,165126,165132
"382",36,1,80,"face_372.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,13519,178659
"383",36,2,60,"face_147.png","0","[""Eyes"",""Nose""]",NA,9282,187944
"384",36,3,80,"face_133.png","0","[""Mouth"",""Eyes"",""Nose"",""Hair""]",NA,13325,201274
"385",36,4,40,"face_011.png","0","[""Eyes"",""Nose""]",NA,9115,210393
"386",36,5,20,"face_275.png","0","[]",NA,10013,220410
"387",36,6,70,"face_155.png","0","[""Mouth"",""Eyes""]",NA,8919,229333
"388",36,7,60,"face_039.png","0","[""Mouth"",""Eyes""]",NA,8378,237715
"389",36,8,60,"face_162.png","0","[""Eyes"",""Nose""]",NA,5407,243123
"390",36,9,30,"face_387.png","0","[""Eyes""]",NA,5274,248401
"391",37,0,0,"face_156.png","0","[]",NA,8300,8303
"392",37,1,0,"face_358.png","0","[]",NA,5636,13943
"393",37,2,70,"face_238.png","0","[""Mouth"",""Eyes""]",NA,11510,25454
"394",37,3,50,"face_423.png","0","[""Eyes""]",NA,12284,37744
"395",37,4,30,"face_419.png","0","[""Eyes""]",NA,7547,45296
"396",37,5,10,"face_140.png","0","[""Eyes""]",NA,5748,51047
"397",37,6,10,"face_277.png","0","[]",NA,6576,57627
"398",37,7,30,"face_039.png","0","[""Mouth""]",NA,5498,63133
"399",37,8,70,"face_199.png","0","[""Eyes"",""Nose""]",NA,5993,69129
"400",37,9,50,"face_438.png","0","[""Other""]",NA,8721,77856
"401",38,0,60,"face_136.png","0","[""Hair""]",NA,22250,22253
"402",38,1,30,"face_404.png","0","[""Eyes""]",NA,20969,43223
"403",38,2,20,"face_167.png","0","[""Eyes""]",NA,18543,61770
"404",38,3,70,"face_199.png","0","[""Mouth"",""Eyes""]",NA,8471,70242
"405",38,4,60,"face_076.png","0","[""Eyes"",""Jaw"",""Hair""]",NA,15082,85334
"406",38,5,40,"face_435.png","0","[""Eyes"",""Hair""]",NA,13930,99268
"407",38,6,20,"face_218.png","0","[""Hair""]",NA,5411,104682
"408",38,7,70,"face_313.png","0","[""Mouth"",""Jaw""]",NA,11080,115766
"409",38,8,80,"face_073.png","0","[""Eyes"",""Nose"",""Hair""]",NA,13896,129665
"410",38,9,10,"face_156.png","0","[""Nose"",""Jaw""]",NA,7589,137257
"411",39,0,20,"face_388.png","0","[""Nose""]",NA,45338,45339
"412",39,1,80,"face_325.png","0","[""Mouth"",""Eyes"",""Nose"",""Hair"",""Other""]","Eyebrows",35805,81159
"413",39,2,30,"face_320.png","0","[""Mouth""]",NA,22255,103417
"414",39,3,30,"face_422.png","0","[""Nose""]",NA,29245,132666
"415",39,4,50,"face_250.png","0","[""Mouth"",""Eyes"",""Other""]","Eyebrows",34020,166694
"416",39,5,40,"face_041.png","0","[""Nose"",""Ears"",""Jaw""]",NA,29051,195750
"417",39,6,50,"face_085.png","0","[""Mouth"",""Eyes"",""Nose"",""Jaw"",""Hair""]",NA,29471,225226
"418",39,7,10,"face_275.png","0","[]",NA,13281,238511
"419",39,8,40,"face_020.png","0","[""Mouth"",""Eyes"",""Nose"",""Hair"",""Other""]","Eyebrows",52826,291342
"420",39,9,50,"face_162.png","0","[""Eyes"",""Nose"",""Ears"",""Jaw"",""Other""]","Cheekbones are well defined, and she also looks presentable (perhaps the blush)",86920,378265
"421",40,0,30,"face_151.png","0","[]",NA,11261,11265
"422",40,1,30,"face_077.png","0","[]",NA,6669,17940
"423",40,2,40,"face_315.png","0","[""Jaw""]",NA,5311,23256
"424",40,3,20,"face_422.png","0","[""Eyes""]",NA,7252,30513
"425",40,4,40,"face_241.png","0","[""Mouth"",""Nose""]",NA,10287,40807
"426",40,5,60,"face_217.png","0","[""Mouth""]",NA,8745,49556
"427",40,6,50,"face_378.png","0","[]",NA,4270,53830
"428",40,7,40,"face_078.png","0","[""Nose""]",NA,5102,58937
"429",40,8,30,"face_115.png","0","[]",NA,4408,63350
"430",40,9,70,"face_377.png","0","[]",NA,3827,67180
"431",41,0,40,"face_133.png","0","[""Mouth"",""Nose""]",NA,46020,46037
"432",41,1,20,"face_077.png","0","[""Nose""]",NA,34062,80125
"433",41,2,20,"face_419.png","0","[""Eyes"",""Nose""]",NA,11434,91564
"434",41,3,50,"face_200.png","0","[""Mouth"",""Eyes"",""Hair""]",NA,11199,102767
